timestamp,event_type,detail,text
2026-05-08T23:19:08.189339+00:00,led_color,sample=550,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.196341+00:00,led_color,sample=560,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.209149+00:00,led_color,sample=570,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.215530+00:00,led_color,sample=580,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.231165+00:00,led_color,sample=590,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.246361+00:00,led_color,sample=600,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.272283+00:00,led_color,sample=610,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.293954+00:00,led_color,sample=620,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.312336+00:00,led_color,sample=630,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.319482+00:00,led_color,sample=640,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.326709+00:00,led_color,sample=650,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.350618+00:00,led_color,sample=660,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.359519+00:00,led_color,sample=670,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.367104+00:00,led_color,sample=680,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.381907+00:00,led_color,sample=690,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.390985+00:00,led_color,sample=700,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.407014+00:00,led_color,sample=710,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.416974+00:00,led_color,sample=720,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.427029+00:00,led_color,sample=730,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.440099+00:00,led_color,sample=740,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.451450+00:00,led_color,sample=750,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.458444+00:00,led_color,sample=760,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.467755+00:00,led_color,sample=770,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.469291+00:00,qbot_led_color,sample=20,"0.000,0.000,1.000"
2026-05-08T23:19:08.482576+00:00,led_color,sample=780,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.491038+00:00,led_color,sample=790,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.498187+00:00,led_color,sample=800,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.517107+00:00,led_color,sample=810,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.524092+00:00,led_color,sample=820,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.530603+00:00,led_color,sample=830,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.546442+00:00,led_color,sample=840,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.554300+00:00,led_color,sample=850,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.562752+00:00,led_color,sample=860,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.578094+00:00,led_color,sample=870,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.589059+00:00,led_color,sample=880,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.595564+00:00,led_color,sample=890,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.611668+00:00,led_color,sample=900,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.620373+00:00,led_color,sample=910,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.641090+00:00,led_color,sample=920,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.650671+00:00,led_color,sample=930,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.659119+00:00,led_color,sample=940,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.671001+00:00,led_color,sample=950,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.682728+00:00,led_color,sample=960,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.691706+00:00,led_color,sample=970,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.732926+00:00,led_color,sample=980,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.743004+00:00,led_color,sample=990,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.750517+00:00,led_color,sample=1000,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.757710+00:00,led_color,sample=1010,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.797446+00:00,led_color,sample=1020,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.807513+00:00,led_color,sample=1030,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.814349+00:00,led_color,sample=1040,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.839825+00:00,led_color,sample=1050,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.846709+00:00,led_color,sample=1060,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.855669+00:00,led_color,sample=1070,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.867687+00:00,led_color,sample=1080,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.879847+00:00,led_color,sample=1090,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.890719+00:00,led_color,sample=1100,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.899385+00:00,led_color,sample=1110,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.919620+00:00,led_color,sample=1120,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.930877+00:00,led_color,sample=1130,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.941851+00:00,led_color,sample=1140,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.956299+00:00,led_color,sample=1150,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.963039+00:00,led_color,sample=1160,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.970175+00:00,led_color,sample=1170,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:08.977500+00:00,led_color,sample=1180,"r=0.000,g=0.000,b=1.000,a=1.000"
2026-05-08T23:19:08.999717+00:00,led_color,sample=1190,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.006322+00:00,led_color,sample=1200,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.016124+00:00,led_color,sample=1210,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.027831+00:00,led_color,sample=1220,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.036599+00:00,led_color,sample=1230,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.047116+00:00,led_color,sample=1240,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.053942+00:00,led_color,sample=1250,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.060998+00:00,led_color,sample=1260,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.071779+00:00,led_color,sample=1270,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.082584+00:00,led_color,sample=1280,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.089666+00:00,led_color,sample=1290,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.095982+00:00,led_color,sample=1300,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.102293+00:00,led_color,sample=1310,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.118029+00:00,led_color,sample=1320,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.136020+00:00,led_color,sample=1330,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.160991+00:00,led_color,sample=1340,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.181280+00:00,led_color,sample=1350,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.191369+00:00,led_color,sample=1360,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.220430+00:00,led_color,sample=1370,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.235387+00:00,led_color,sample=1380,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.261679+00:00,led_color,sample=1390,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.366400+00:00,led_color,sample=1400,"r=1.000,g=1.000,b=0.000,a=1.000"
